 ,Label,ID,Vol. (microns³),x Cent (microns),y Cent (microns),z Cent (microns),SA (microns²),Encl. Vol. (microns³)
5884,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5884,2.163,1276.352,261.202,23.278,0.000,0.000
5885,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5885,1.922,1430.177,128.598,15.250,0.000,0.000
5886,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5886,0.721,1537.630,88.967,20.667,0.000,0.000
5887,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5887,6.007,925.767,511.952,17.460,0.000,0.000
5888,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5888,0.240,1353.919,212.135,18.000,0.000,0.000
5889,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5889,1.201,1554.823,259.969,25.800,0.000,0.000
5890,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5890,0.721,68.863,649.114,20.500,0.000,0.000
5891,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5891,0.240,126.865,698.104,22.000,0.000,0.000
5892,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5892,7.690,1396.121,424.573,25.078,5.942,0.886
5893,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5893,0.961,1555.655,155.288,33.750,0.000,0.000
5894,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5894,1.682,1402.546,113.099,8.571,0.000,0.000
5895,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5895,3.845,1298.849,217.984,18.125,4.427,0.669
5896,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5896,0.240,1104.349,298.791,17.500,0.000,0.000
5897,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5897,0.240,1402.447,277.300,26.500,0.000,0.000
5898,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5898,0.961,966.565,340.386,14.000,0.000,0.000
5899,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5899,4.566,641.148,320.318,15.842,4.032,0.566
5900,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5900,0.240,1224.974,248.877,14.500,0.000,0.000
5901,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5901,0.240,1159.809,289.779,14.500,0.000,0.000
5902,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5902,0.481,111.267,515.432,8.500,0.000,0.000
5903,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5903,7.930,1475.826,288.918,19.076,9.376,2.105
5904,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5904,0.721,1394.821,169.153,13.500,0.000,0.000
5905,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5905,1.922,1399.327,218.374,15.750,0.000,0.000
5906,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5906,0.240,71.405,649.576,21.000,0.000,0.000
5907,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5907,0.961,84.923,641.430,17.750,0.000,0.000
5908,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5908,0.721,37.667,715.435,39.333,0.000,0.000
5909,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5909,0.721,60.313,687.474,32.333,0.000,0.000
5910,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5910,1.682,132.906,721.278,24.500,0.000,0.000
5911,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5911,0.240,60.313,675.920,26.000,0.000,0.000
5912,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5912,2.163,1356.384,180.245,12.111,0.000,0.000
5913,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5913,0.240,4.160,864.484,42.500,0.000,0.000
5914,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5914,21.627,967.447,376.150,9.578,31.445,9.218
5915,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5915,0.721,913.705,253.037,7.500,0.000,0.000
5916,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5916,0.240,341.773,542.122,17.000,0.000,0.000
5917,2024-11-12_ICinject241010_rLP10l_sliceB2__M_mouse 2_SBC_20Xtil..._M_mouse 2_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,5917,3.124,1542.377,194.590,21.923,3.052,0.367
